boss,policy,won,mastery,turns,final_vol,party_hp,crashes,legacy
boar,aggressive,True,False,8,100,44,0,False
boar,suppress,True,False,12,0,258,0,False
boar,raise_receive,True,True,12,96,10,0,True
boar,crash,True,False,12,46,29,0,False
owl,aggressive,True,False,7,92,212,0,False
owl,suppress,True,True,10,0,213,0,False
owl,raise_receive,False,False,10,100,-5,0,False
owl,crash,True,True,10,42,265,0,False
manticore,aggressive,True,False,8,100,118,0,False
manticore,suppress,True,False,11,0,62,0,False
manticore,raise_receive,True,False,15,100,35,0,False
manticore,crash,True,True,14,46,305,5,False
